hidden_layers_n,h1_size,h2_size,h3_size,h4_size,alpha,learning_rate_init,beta_1,beta_2,tol,source,msc,dsp,model_update_time,acquisition_time,query_time
2.0,17.0,17.0,17.0,17.0,-3.4999999533289,-4.0,-1.50218240332379,-1.50218240332379,-3.4999999533289,1.0,0.1492,0.1674,0.0,0.0,0.0
4.0,12.0,32.0,23.0,19.0,-4.26692839568158,-3.2678707872174,-0.556008985083248,-0.726499203202071,-2.08903594760836,1.0,0.15270000000000006,0.18479999999999996,0.0,0.0,0.0
2.0,7.0,22.0,23.0,26.0,-1.925030164109,-4.78741364071615,-2.14830234419914,-1.23707958156042,-3.28999149096328,1.0,0.1612,0.12770000000000004,0.0,0.0,0.0
3.0,28.0,18.0,19.0,13.0,-4.2474454940255,-2.63224176655502,-2.19324272956335,-2.08114984057184,-2.82912260187864,1.0,0.15949999999999998,0.2157,0.0,0.0,0.0
1.0,18.0,4.0,26.0,16.0,-2.04881008351868,-2.69287344303118,-1.10296669887873,-2.82581733780375,-2.27866265312152,1.0,0.15400000000000003,0.1815,0.0,0.0,0.0
3.0,17.0,2.0,32.0,23.0,-4.2367337845187,-4.34097092212278,-0.166443122646712,-0.432272742583077,-2.14129309488524,1.0,0.19479999999999997,0.13170000000000004,0.0,0.0,0.0
4.0,28.0,6.0,20.0,29.0,-3.49302577487076,-3.6632088044054,-0.0774928733594806,-1.98371058598337,-3.60198700564182,1.0,0.15900000000000003,0.20219999999999994,0.0,0.0,0.0
3.0,10.0,32.0,2.0,7.0,-4.60028012394686,-3.52976385864521,-2.8891781438664,-1.04974158259033,-3.10199768739545,1.0,0.16159999999999997,0.1683,0.0,0.0,0.0
2.0,13.0,29.0,10.0,27.0,-2.71440420606749,-2.33350600284974,-2.75864647740511,-2.01823702031791,-4.11233893159315,1.0,0.15149999999999997,0.16979999999999995,0.0,0.0,0.0
4.0,23.0,16.0,19.0,11.0,-1.04695963815459,-5.67590802962836,-1.44299579503114,-1.7053962752499,-3.16571098968136,1.0,0.24239999999999995,0.019399999999999973,0.0,0.0,0.0
3.0,15.0,18.0,28.0,11.0,-5.94553343773669,-5.57876181847643,-2.27368963132979,-1.17200647059964,-3.17217894702059,1.0,0.23170000000000002,0.04269999999999996,0.0,0.0,0.0
1.0,17.0,16.0,3.0,16.0,-2.85958643609082,-2.54010743967993,-1.41020841881621,-0.798410811945086,-2.26814364170282,2.0,0.15410000000000001,0.19599999999999995,0.0,0.0,0.0
2.0,2.0,15.0,4.0,18.0,-2.4982687526815,-3.95061697769037,-0.638365684879105,-2.69189455141289,-4.09508368301116,2.0,0.1532,0.16010000000000002,0.0,0.0,0.0
3.0,7.0,25.0,27.0,32.0,-3.93586751871212,-2.98244238488232,-1.63923330481139,-1.34037023835915,-2.37510361552824,2.0,0.15060000000000007,0.1755,0.0,0.0,0.0
2.0,18.0,20.0,26.0,23.0,-1.00540165101284,-2.24526845122631,-1.42142242532003,-2.64781397128041,-4.78905688047524,2.0,0.16259999999999997,0.20189999999999997,0.0,0.0,0.0
2.0,23.0,29.0,24.0,4.0,-3.5092877929689,-3.83885712862828,-1.80793234662635,-0.258893941292537,-3.2891749553632,2.0,0.14959999999999996,0.15390000000000004,0.0,0.0,0.0
2.0,7.0,7.0,27.0,2.0,-3.80949427206997,-2.66985010776565,-0.0204972701077945,-2.86953701746484,-3.14375103385636,2.0,0.2419,0.1995,0.0,0.0,0.0
2.0,2.0,7.0,23.0,20.0,-2.95084621294906,-2.8143149771899,-0.547047814245566,-2.10916683194276,-4.63743148130013,2.0,0.1633,0.1785,0.0,0.0,0.0
2.0,14.0,20.0,24.0,16.0,-4.36515988974495,-2.51676158411698,-0.769900274669091,-0.259369005892821,-2.85927508782203,2.0,0.14790000000000003,0.18510000000000004,0.0,0.0,0.0
1.0,12.0,20.0,18.0,7.0,-4.1598415310328,-4.52067264990028,-1.55831017721119,-1.8667538988104,-4.19204042565561,2.0,0.1502,0.15680000000000005,0.0,0.0,0.0
1.0,8.0,21.0,6.0,3.0,-1.19629681522887,-2.55403198570789,-1.29826964633062,-0.552229691963372,-3.62628292544102,2.0,0.15410000000000001,0.1854,0.0,0.0,0.0
3.0,3.0,10.0,30.0,6.0,-4.08947326193431,-3.86112374383045,-2.47294724415349,-2.19469413717729,-2.44742290004445,2.0,0.1764,0.13539999999999996,0.0,0.0,0.0
-4.073097229003906,-2.982401132583618,-2.7176132202148438,13.599102973937988,30.569164276123047,5.9296064376831055,20.73334312438965,-5.90970516204834,2.8794283866882324,-3.282242774963379,1.0,0.749187707901001,0.030055999755859375,1.8886637687683105,7.8149189949035645,14.194735765457153
-5.828117370605469,-0.9458186626434326,-0.18199467658996582,27.29445457458496,7.882001876831055,8.985332489013672,23.82819938659668,-1.3154621124267578,1.04961097240448,-3.762648582458496,2.0,0.15980350971221924,0.13957911729812622,0.6067590713500977,0.5410478115081787,41.92838525772095
-3.4319071769714355,-2.1238224506378174,-2.878812789916992,29.499128341674805,20.814546585083008,16.53789520263672,26.167367935180664,-2.8955838680267334,2.6218528747558594,-2.9749598503112793,1.0,0.15138232707977295,0.1682208776473999,0.22820568084716797,1.1456596851348877,59.52523732185364
-5.131006717681885,-1.6671931743621826,-0.07174038887023926,8.559442520141602,22.832881927490234,15.439891815185547,28.906400680541992,-2.896745204925537,3.5024912357330322,-4.558636665344238,2.0,0.15204519033432007,0.1917484998703003,0.27685070037841797,1.2087717056274414,108.75842237472534
-3.417283058166504,-0.6461246013641357,-0.7553491592407227,7.685267925262451,30.949600219726562,3.5497279167175293,18.727218627929688,-1.5583124160766602,1.6268266439437866,-2.803640365600586,2.0,0.1551622748374939,0.1910037398338318,0.2434549331665039,0.7689700126647949,9.79839015007019
-2.3815932273864746,-1.7348339557647705,-1.0432307720184326,5.329548358917236,26.257320404052734,5.1062331199646,7.351398944854736,-1.7196378707885742,2.1642279624938965,-2.4208059310913086,2.0,0.16444575786590576,0.1731778383255005,0.9492669105529785,0.9705440998077393,7.490212440490723
-1.684600830078125,-1.2931201457977295,-1.022773265838623,22.295690536499023,18.955835342407227,2.149245262145996,15.23361587524414,-2.6494176387786865,2.535557270050049,-3.989262104034424,2.0,0.15284109115600586,0.15226078033447266,1.079758644104004,1.2124216556549072,21.260850429534912
-5.111876010894775,-2.759215831756592,-0.975231409072876,25.66858673095703,28.460023880004883,22.752910614013672,11.34670639038086,-2.804924488067627,3.674257278442383,-3.558396100997925,1.0,0.15310639142990112,0.16894757747650146,1.6946425437927246,2.5520246028900146,92.06608533859253
-1.4302315711975098,-2.9504358768463135,-1.4927371740341187,20.50101661682129,31.09583854675293,18.53828239440918,3.5696797370910645,-3.976308822631836,3.6457266807556152,-4.633284568786621,2.0,0.15012246370315552,0.1917979121208191,0.34943461418151855,0.9105861186981201,80.60494089126587
-4.30660343170166,-0.7705032825469971,-1.4232745170593262,29.935382843017578,9.095593452453613,29.562406539916992,7.898238658905029,-3.3105249404907227,3.9322657585144043,-3.132809638977051,2.0,0.15323913097381592,0.1714620590209961,0.443631649017334,1.164499044418335,66.6703953742981
-5.411560535430908,-1.896381139755249,-0.35795164108276367,30.8125057220459,4.442934036254883,17.408004760742188,9.418070793151855,-4.103905200958252,3.5364975929260254,-4.067046165466309,2.0,0.14926034212112427,0.18569934368133545,0.26119184494018555,0.9946208000183105,269.3624086380005
-2.4420340061187744,-2.373544931411743,-0.010186910629272461,17.633745193481445,26.907825469970703,21.774404525756836,24.479665756225586,-3.9244258403778076,1.7081420421600342,-2.292102813720703,1.0,0.1510176658630371,0.18313807249069214,0.2580904960632324,1.3139281272888184,18.031872987747192
-2.9617762565612793,-2.6500251293182373,-1.1806864738464355,3.9436757564544678,8.221625328063965,27.248268127441406,5.969088077545166,-5.481839179992676,1.9595186710357666,-2.1394782066345215,2.0,0.2489224672317505,0.0,0.5787508487701416,0.6228640079498291,55.40297031402588
-5.855063438415527,-2.366992473602295,-1.6456831693649292,26.446449279785156,6.549835205078125,18.726669311523438,10.817970275878906,-3.08508038520813,2.8371896743774414,-2.2404398918151855,2.0,0.15410131216049194,0.1862947940826416,0.39872193336486816,0.6590442657470703,22.86835813522339
-4.334617614746094,-2.109659433364868,-0.19302678108215332,3.876283884048462,26.47648048400879,8.939684867858887,29.347043991088867,-3.794009208679199,1.0966050624847412,-2.2169291973114014,2.0,0.16683238744735718,0.19130980968475342,0.35807371139526367,1.2054595947265625,8.973375082015991
-3.6739964485168457,-0.47248101234436035,-2.245162010192871,7.269133567810059,26.626962661743164,17.812206268310547,6.484572887420654,-4.418145179748535,1.2037173509597778,-2.8544692993164062,1.0,0.15562599897384644,0.18752652406692505,0.3929588794708252,0.8780193328857422,21.00115466117859
-4.054569244384766,-2.543935775756836,-0.4352304935455322,13.017984390258789,11.673834800720215,13.100327491760254,27.48179817199707,-2.3384127616882324,2.18123722076416,-2.0774195194244385,2.0,0.15343749523162842,0.16743028163909912,0.4801011085510254,1.4853696823120117,6.3705689907073975
-2.96262788772583,-2.344829797744751,-2.944131851196289,8.213876724243164,24.67536735534668,14.431439399719238,8.4424409866333,-3.1994056701660156,2.5324978828430176,-4.438482761383057,1.0,0.15058684349060059,0.18815159797668457,0.48128223419189453,1.5295510292053223,48.53524160385132
-2.7790961265563965,-1.9316426515579224,-1.1263588666915894,14.535143852233887,5.033470153808594,24.130779266357422,29.488689422607422,-2.85774827003479,1.7339526414871216,-3.8952736854553223,1.0,0.14949250221252441,0.18734580278396606,1.977362871170044,0.7821736335754395,26.502594232559204
-3.225487232208252,-1.494431972503662,-2.819690227508545,26.541685104370117,29.657716751098633,18.54189682006836,27.800220489501953,-2.8012616634368896,3.2820589542388916,-4.26179313659668,1.0,0.15436625480651855,0.1649836301803589,0.5760512351989746,0.6737282276153564,77.27822685241699
-3.665292978286743,-1.1358652114868164,-2.3640453815460205,20.69740867614746,13.24807071685791,15.084281921386719,9.784231185913086,-5.189175605773926,2.3020434379577637,-4.9908528327941895,2.0,0.1849347949028015,0.08492016792297363,0.2505512237548828,0.6257843971252441,64.21405696868896
-4.353152275085449,-0.4659459590911865,-0.8964335918426514,30.955678939819336,11.826162338256836,2.1698381900787354,28.96337127685547,-1.5950336456298828,1.8271384239196777,-3.2993404865264893,2.0,0.15502887964248657,0.17374688386917114,0.3201775550842285,0.6053688526153564,29.564345121383667
-1.797408103942871,-0.8080499172210693,-2.1423535346984863,26.023775100708008,27.69929313659668,24.10751724243164,11.389089584350586,-4.899860382080078,2.6738171577453613,-2.3595194816589355,2.0,0.21198874711990356,0.040430426597595215,0.26195645332336426,0.6289575099945068,46.26626539230347
-1.2400012016296387,-1.090477705001831,-0.7449276447296143,18.614933013916016,28.580669403076172,17.508766174316406,23.098325729370117,-4.580191612243652,1.559829592704773,-2.6355295181274414,2.0,0.18692433834075928,0.11262780427932739,0.3242778778076172,0.6295342445373535,25.93267846107483
-1.2403159141540527,-0.2544713020324707,-0.8908665180206299,14.123495101928711,26.333616256713867,6.7576141357421875,8.4459228515625,-5.2888617515563965,2.702085494995117,-2.137983560562134,1.0,0.282839298248291,0.03809666633605957,0.2803459167480469,0.8281364440917969,40.838804960250854
-2.2335758209228516,-2.838381290435791,-1.2455060482025146,8.698612213134766,23.908878326416016,17.162399291992188,21.492258071899414,-1.6757283210754395,1.8118624687194824,-4.4331231117248535,2.0,0.1694851517677307,0.1585826873779297,0.22777891159057617,1.3040878772735596,9.467350959777832
-2.361637592315674,-2.133878707885742,-0.773571252822876,6.6782708168029785,26.457544326782227,6.462649822235107,11.364215850830078,-3.782555103302002,3.2102773189544678,-4.643987655639648,2.0,0.14892888069152832,0.1764114499092102,0.2849748134613037,0.6640224456787109,65.17272424697876
-5.5706562995910645,-0.8142211437225342,-2.8311548233032227,12.672147750854492,5.6575798988342285,12.484077453613281,11.507858276367188,-2.271904706954956,1.8367340564727783,-2.0549163818359375,2.0,0.15781432390213013,0.2120773196220398,0.6436376571655273,0.9988634586334229,5.809194326400757
-5.797439098358154,-0.2684462070465088,-0.8983480930328369,16.091014862060547,25.547767639160156,27.50606346130371,8.903571128845215,-3.6949243545532227,3.296483039855957,-4.086971282958984,2.0,0.15158146619796753,0.18788105249404907,0.2483816146850586,0.58736252784729,74.40568137168884
-3.582388162612915,-1.1687462329864502,-1.765926718711853,10.929658889770508,22.843006134033203,16.06908416748047,17.67975425720215,-1.7429003715515137,1.8607510328292847,-3.897841453552246,2.0,0.1580796241760254,0.22738295793533325,0.6839101314544678,1.0124022960662842,11.936513185501099
-3.0966434478759766,-0.7297606468200684,-2.5603299140930176,21.69786262512207,13.627975463867188,24.905452728271484,18.881275177001953,-3.9695537090301514,2.8452391624450684,-3.067683458328247,2.0,0.14899510145187378,0.17507553100585938,0.42487668991088867,1.3107948303222656,25.126360416412354
-3.266602039337158,-1.9652864933013916,-0.33065295219421387,8.176994323730469,28.727252960205078,10.21649169921875,8.739940643310547,-4.164117336273193,3.9277796745300293,-3.825118064880371,2.0,0.1495254635810852,0.18362146615982056,0.531538724899292,3.8777382373809814,96.40941381454468
-2.513798475265503,-0.691601037979126,-1.164746642112732,15.537559509277344,8.154146194458008,8.403263092041016,7.57818603515625,-1.3731822967529297,3.925818920135498,-2.9946815967559814,1.0,0.1611289381980896,0.2063586711883545,0.3390023708343506,0.8467361927032471,19.225945472717285
-2.5516340732574463,-0.8551647663116455,-1.0395386219024658,31.839351654052734,13.114806175231934,3.0913851261138916,29.11005973815918,-2.3249852657318115,3.4217960834503174,-2.9583821296691895,1.0,0.150321364402771,0.18209725618362427,1.6997487545013428,2.789621114730835,53.65048432350159
-2.524688720703125,-0.2547776699066162,-0.00948953628540039,26.497425079345703,31.807109832763672,8.355456352233887,3.4206924438476562,-2.9997754096984863,2.531172275543213,-4.935549736022949,1.0,0.14674079418182373,0.1831342577934265,0.30983424186706543,0.7525134086608887,615.4344816207886
-3.535252332687378,-0.2457582950592041,-1.5134176015853882,9.616504669189453,2.151555061340332,10.403810501098633,9.571584701538086,-1.3658504486083984,3.3826804161071777,-3.2739713191986084,1.0,0.2991379499435425,0.0,0.27413487434387207,0.7352926731109619,17.49276852607727
-4.3533525466918945,-0.5321087837219238,-2.1881184577941895,8.108458518981934,29.81599998474121,6.752223491668701,19.412702560424805,-1.306872844696045,1.9200365543365479,-2.7645890712738037,2.0,0.2489224672317505,0.0,0.3444535732269287,0.8239853382110596,6.23156476020813
-3.31512188911438,-0.6816732883453369,-2.6702840328216553,17.066349029541016,6.775753021240234,3.8151869773864746,7.511620044708252,-3.0513134002685547,2.711137056350708,-3.981894016265869,2.0,0.14992350339889526,0.1835959553718567,0.3173408508300781,1.0983812808990479,54.30128312110901
-1.2687044143676758,-2.0689685344696045,-2.4548232555389404,29.51559066772461,3.5646910667419434,11.14950180053711,15.592716217041016,-5.515356063842773,3.8105084896087646,-4.756527423858643,2.0,0.2489224672317505,0.0,0.8550536632537842,1.7986619472503662,307.57315158843994
-3.954132080078125,-1.8498471975326538,-2.3535728454589844,9.405271530151367,30.3386287689209,22.82316017150879,22.43136978149414,-1.9855799674987793,2.896332025527954,-2.369943618774414,2.0,0.16683202981948853,0.151816725730896,2.1176071166992188,1.19346284866333,9.61924433708191
-5.518394947052002,-1.6020863056182861,-1.6250625848770142,8.99455451965332,31.18145179748535,20.710317611694336,24.19546890258789,-5.908234119415283,3.459289312362671,-2.753992795944214,2.0,0.2466679811477661,0.019398391246795654,0.3076052665710449,0.8910083770751953,91.81908583641052
-4.851714611053467,-2.694948434829712,-0.055159568786621094,28.999481201171875,10.370022773742676,30.223295211791992,14.686108589172363,-3.2669637203216553,3.7039668560028076,-2.7227227687835693,1.0,0.15081840753555298,0.17385631799697876,1.8574235439300537,6.030657768249512,92.85688972473145
-4.5786943435668945,-0.5748100280761719,-2.348712682723999,22.667102813720703,12.58051586151123,4.1655354499816895,9.74913215637207,-4.353493690490723,3.80820631980896,-3.9327690601348877,1.0,0.14611083269119263,0.18887859582901,0.2785763740539551,0.6213476657867432,176.4632887840271
-2.094921112060547,-0.48166751861572266,-2.1883742809295654,6.581772804260254,29.17445182800293,20.381772994995117,8.827629089355469,-4.049180507659912,2.6423821449279785,-2.708890914916992,1.0,0.15250951051712036,0.20437496900558472,0.31909728050231934,0.6826567649841309,27.030941247940063
-2.0927894115448,-2.639782428741455,-2.9570200443267822,16.99114990234375,28.29649543762207,29.825170516967773,12.693436622619629,-1.6333727836608887,3.5688047409057617,-2.8021938800811768,2.0,0.216896653175354,0.19247651100158691,0.3025937080383301,1.741520881652832,14.041118383407593
-4.151161193847656,-0.3100757598876953,-2.5258641242980957,15.05815315246582,26.465072631835938,31.649690628051758,7.890595436096191,-3.631218194961548,3.4444124698638916,-2.939436435699463,2.0,0.15549391508102417,0.1913820505142212,0.2789456844329834,0.5491044521331787,21.719635248184204
-3.291632890701294,-2.277377128601074,-0.9865126609802246,29.7247257232666,19.354290008544922,13.842442512512207,26.26032257080078,-4.187288761138916,3.500692367553711,-2.8150100708007812,2.0,0.15761548280715942,0.20966601371765137,0.30040502548217773,0.6087250709533691,59.550397634506226
-5.245195388793945,-2.4210240840911865,-2.554326295852661,18.10519027709961,23.98482894897461,10.58956527709961,20.784061431884766,-2.8659756183624268,3.7001705169677734,-4.208097457885742,2.0,0.1525757908821106,0.18653804063796997,0.28226280212402344,0.561758279800415,27.949836015701294
-1.5493760108947754,-0.02013540267944336,-2.0466995239257812,8.495416641235352,4.674374103546143,26.629474639892578,28.853473663330078,-3.1409287452697754,1.27732515335083,-3.816196918487549,2.0,0.16563886404037476,0.15237325429916382,0.2949333190917969,0.5935871601104736,42.466299533843994
-5.420665264129639,-2.8890793323516846,-0.1586284637451172,31.12925910949707,9.338266372680664,28.430416107177734,11.490619659423828,-5.00862979888916,2.3124279975891113,-4.700842380523682,1.0,0.15632236003875732,0.20152556896209717,0.4850349426269531,1.8923823833465576,34560.70052599907
-4.784644603729248,-2.6810786724090576,-1.039266586303711,19.57137107849121,26.84440040588379,11.196192741394043,17.879005432128906,-2.6936216354370117,3.3816323280334473,-2.3664112091064453,1.0,0.1516144871711731,0.2227305769920349,0.250777006149292,0.554990291595459,13.29361367225647
-2.5953378677368164,-0.5079755783081055,-2.8587911128997803,13.079249382019043,18.159494400024414,20.999401092529297,6.586014747619629,-1.6147403717041016,3.534343719482422,-2.0008907318115234,2.0,0.2489224672317505,0.0,0.25795674324035645,0.531982421875,6.056160926818848
-1.0262422561645508,-0.20909976959228516,-2.101099967956543,24.467334747314453,21.734664916992188,27.696063995361328,24.042892456054688,-4.531529426574707,3.1345043182373047,-2.387953042984009,2.0,0.15953832864761353,0.18100810050964355,0.2516040802001953,0.49759340286254883,18.903409957885742
-2.91825008392334,-2.0541129112243652,-1.5306310653686523,30.017457962036133,6.21450662612915,9.761877059936523,24.839269638061523,-3.8900392055511475,2.255463123321533,-2.4680299758911133,2.0,0.1564885973930359,0.17210310697555542,0.2631700038909912,0.5165877342224121,21.87198758125305
-5.11353874206543,-2.256645917892456,-0.23312950134277344,13.313936233520508,27.911823272705078,31.56092643737793,8.99691390991211,-2.112351655960083,3.4965980052948,-2.9450411796569824,2.0,0.15051966905593872,0.18257290124893188,0.282421350479126,0.5037047863006592,14.544618606567383
-5.9911370277404785,-0.277296781539917,-0.21789121627807617,11.271467208862305,22.25999641418457,14.9301176071167,22.794939041137695,-3.4742469787597656,2.355520009994507,-3.2499074935913086,2.0,0.15065264701843262,0.19528400897979736,0.26062893867492676,0.5555806159973145,17.053772687911987
-3.034785270690918,-2.540217399597168,-0.9975216388702393,14.313551902770996,7.536172389984131,21.96893882751465,27.37643051147461,-1.184865951538086,1.7461167573928833,-3.7814934253692627,2.0,0.16941654682159424,0.1363031268119812,0.24561095237731934,0.5398337841033936,8.016345500946045
-4.960363864898682,-1.843387246131897,-2.1397335529327393,5.438835144042969,20.205768585205078,8.89448356628418,3.6637301445007324,-4.247742652893066,3.81018328666687,-2.3074800968170166,1.0,0.16646772623062134,0.14679324626922607,0.33353328704833984,0.4590792655944824,29.7748806476593
-4.123767852783203,-2.0028038024902344,-0.9974584579467773,22.830730438232422,12.999677658081055,3.020892381668091,6.5737528800964355,-4.320652008056641,3.8824758529663086,-3.339106559753418,2.0,0.15496325492858887,0.18949496746063232,0.25650811195373535,0.49942851066589355,63.612931966781616
-3.904041051864624,-1.3661969900131226,-2.0704991817474365,7.038027286529541,23.844642639160156,7.0074872970581055,13.232627868652344,-3.7311179637908936,2.4321117401123047,-4.268452167510986,1.0,0.15055358409881592,0.18859219551086426,0.22509098052978516,0.4175994396209717,32.76374864578247
-4.313120365142822,-1.74502432346344,-1.2149156332015991,14.461440086364746,22.439481735229492,26.147668838500977,12.590961456298828,-2.8693552017211914,3.104733467102051,-3.2070887088775635,1.0,0.15423327684402466,0.1738213300704956,0.9934954643249512,0.40401363372802734,19.97699785232544
-1.3649344444274902,-1.8188039064407349,-2.471095561981201,25.789794921875,31.224159240722656,19.369136810302734,29.14595603942871,-5.537294864654541,3.541550636291504,-4.616121768951416,2.0,0.20535796880722046,0.05199319124221802,0.2672567367553711,0.5361967086791992,304.59068608283997
